no,area,genre,name,is_large_store,ticket_type,map_query
821,福山,サービス,あいら農業協同組合 福山購買店舗,False,全券利用可（14枚）,あいら農業協同組合 福山購買店舗 霧島市 福山
822,福山,サービス,赤池商店,False,全券利用可（14枚）,赤池商店 霧島市 福山
823,福山,住宅・工務店・設備,有村建設,False,全券利用可（14枚）,有村建設 霧島市 福山
824,福山,その他,宇都醸造,False,全券利用可（14枚）,宇都醸造 霧島市 福山
825,福山,スーパー・食品,Aコープ 牧の原店,False,全券利用可（14枚）,Aコープ 牧の原店 霧島市 福山
826,福山,飲食店,お食事処 ひょうたん,False,全券利用可（14枚）,お食事処 ひょうたん 霧島市 福山
827,福山,飲食店,鹿児島ラーメンみよし家 本店,False,全券利用可（14枚）,鹿児島ラーメンみよし家 本店 霧島市 福山
828,福山,スーパー・食品,かれがぁの焼酎屋 谷山酒店,False,全券利用可（14枚）,かれがぁの焼酎屋 谷山酒店 霧島市 福山
829,福山,その他,楠元金物店,False,全券利用可（14枚）,楠元金物店 霧島市 福山
830,福山,車・バイク・ガソリン,久米村自動車,False,全券利用可（14枚）,久米村自動車 霧島市 福山
831,福山,その他,黒酢ガーデン壺畑 SHOP&RESTAURANT,False,全券利用可（14枚）,黒酢ガーデン壺畑 SHOP&RESTAURANT 霧島市 福山
832,福山,飲食店,黒酢レストラン 黒酢の郷桷志田,False,全券利用可（14枚）,黒酢レストラン 黒酢の郷桷志田 霧島市 福山
833,福山,家電・ホームセンター,コメリ 牧之原店,False,全券利用可（14枚）,コメリ 牧之原店 霧島市 福山
834,福山,その他,坂元醸造 黒酢ｶﾞｰﾃﾞﾝ壺畑SHOP＆RESTAURANT,False,全券利用可（14枚）,坂元醸造 黒酢ｶﾞｰﾃﾞﾝ壺畑SHOP＆RESTAURANT 霧島市 福山
835,福山,その他,正栄企画,False,全券利用可（14枚）,正栄企画 霧島市 福山
836,福山,その他,スギモト技研,False,全券利用可（14枚）,スギモト技研 霧島市 福山
837,福山,飲食店,炭火焼肉 楠風,False,全券利用可（14枚）,炭火焼肉 楠風 霧島市 福山
838,福山,コンビニ,セブンイレブン 霧島牧之原店,False,全券利用可（14枚）,セブンイレブン 霧島牧之原店 霧島市 福山
839,福山,その他,伊達醸造,False,全券利用可（14枚）,伊達醸造 霧島市 福山
840,福山,その他,てんとうむし,False,全券利用可（14枚）,てんとうむし 霧島市 福山
841,福山,スーパー・食品,永田ストアー,False,全券利用可（14枚）,永田ストアー 霧島市 福山
842,福山,スーパー・食品,濱田酒店,False,全券利用可（14枚）,濱田酒店 霧島市 福山
843,福山,その他,福山町ふくふくふれあい館,False,全券利用可（14枚）,福山町ふくふくふれあい館 霧島市 福山
844,福山,その他,ふじた,False,全券利用可（14枚）,ふじた 霧島市 福山
845,福山,美容・理容,Hair space ing,False,全券利用可（14枚）,Hair space ing 霧島市 福山
846,福山,その他,平成興産前屋敷,False,全券利用可（14枚）,平成興産前屋敷 霧島市 福山
847,福山,スーパー・食品,重久盛一酢醸造場（まるしげ、重久本舗）,False,全券利用可（14枚）,重久盛一酢醸造場（まるしげ、重久本舗） 霧島市 福山
848,福山,車・バイク・ガソリン,宮路自動車,False,全券利用可（14枚）,宮路自動車 霧島市 福山
849,福山,コンビニ,ローソン 霧島牧之原店,False,全券利用可（14枚）,ローソン 霧島牧之原店 霧島市 福山
850,福山,コンビニ,ローソン 福山町店,False,全券利用可（14枚）,ローソン 福山町店 霧島市 福山
